DateTime,Tweet Id,Tweet,Username,Location,content_indo
2020-05-06 07:15:45+00:00,1257932044006375424,"Monitoring Kegiatan Pengangkutan Sampah Lintas Jln. Radjiman Mobil 1349T, Rabu, 06 mei 2020 
@aniesbaswedan @Herwansyah @yogiikhwan @MumuhMulyana4 @dinaslhdki @SudinLHTimur @ProKlim_KLHK
#DinasLHDKI 
#PSBBJakarta
#YukPakaiMasker 
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/agb8ZXASmB",DinsihCakung,"Jakarta Timur, DKI Jakarta",pantau giat angkut sampah lintas jalan radjiman mobil t rabu mei
2022-12-18 07:18:33+00:00,1604375548591247360,"@TeddGus @aniesbaswedan Ah bung teddy ini kayak sdh lurus dan jujur aja dirinya, jangan kebanyakan cari keburukan orang bang hingga gak sadar akan keburukan diri kita sendiri.",Yusran81040241,,ah teddy kayak lurus jujur cari keburu orang bang sadar keburu
2019-10-25 14:14:12+00:00,1187734107372974080,"@permadiaktivis @prabowo @erickthohir @aniesbaswedan Selalu sehat rahayu Bli @permadiaktivis salam Bhinneka Tunggal Ika dari Bali... follback nggih.. suksma, nuhun...",SudaWisesa,"Bali, Indonesia",sehat rahayu beli salam bhineka tunggal ika bal iya suksma terima kasih
2020-09-11 05:16:31+00:00,1304287684290990081,@aniesbaswedan gw ajarin ya..selaku pemimpin tertinggi di jkt harus nya bisa bilang NO utk mrk yg mau demo krn situasi covid. Tapi ya susah juga sih secara lo dpt persenan juga dr nasbung pendemo bukan begitu ???,Dgumanty1,,gue ajar ya pimpin jakarta nya bilang no demo situasi covid ya susah sih persen nasi bungkus demo
2020-09-09 17:04:13+00:00,1303741008320946176,@DKIJakarta @aniesbaswedan @BangAriza Makasih pak masih memikirkan kesehatan warganya. Semoga PSBB kali ini berhasil dan semoga wabah covid cepat pergi. Bismillah Warga Jakarta Kembali Sehat. Jakarta bebas covid,Arie_Prims,"Jakarta, Indonesia",terima kasih pikir sehat warga moga psbb kali hasil moga wabah covid cepat pergi bismillah warga jakarta sehat jakarta bebas covid
2020-04-01 02:23:21+00:00,1245174886290477056,"Giat road sweeper jalur flyover Klender via Jln raya Bekasi Timur tgl 01-04-2020

@aniesbaswedan @Herwansyah @yogiikhwan @dinaslhdki @setiomargono @ppdlksudinlhjaktim

#PasukanOrangeDLH 
#DinasLHDKI #JKTBebasSampah2020 #gogreenð #WeLoveJakarta #BersihBisaKok #selamatkanbumi https://t.co/D3ssAVjvFW",DinsihCakung,"Jakarta Timur, DKI Jakarta",giat road sweeper jalur flyover klender via jalan raya bekas timur tanggal
2021-07-11 09:11:06+00:00,1414150242048430083,@MSApunya @aniesbaswedan Susah banget pak Anies memberikan pengertian harus diulang ulang biar ngeh...,recehanrezim,,susah banget anies erti ulang ulang biar tau
2021-12-20 02:37:24+00:00,1472757999340978179,"@abanglurus @kurawa @aniesbaswedan wkwkwkw Internasional juga butuh duit mas,Ingat egk kasus penghargaan oleh pembuat Film Indonesia dr Festival2 LUAR NEGERI colek @jokoanwar dulu pernah dibahas ama beliau.",agss271,,wkwk internasional butuh duit mas egk harga film indonesia festival negeri colek bahas beliau
2022-02-14 23:52:08+00:00,1493372520120340481,"Siapapun yg terpilih apakah pak @prabowo atau @aniesbaswedan akan memperbaiki iklim demokratisasi yang ""rusak"" termasuk menghilangkan polarisasi yang selama ini muncul. Beliau berdua adalah seorang Demokrat sejati yang akan mengembalikan Indonesia pada cita-cita pendiri bangsa.",wigRahman,"Kota Semarang, Jawa Tengah",pilih iklim demokratisasi rusak masuk hilang polarisasi muncul beliau orang demokrat sejati indonesia cita cita bangsa
2019-01-28 07:59:02+00:00,1089794969475272704,"@arwidodo @AboebakarHerman @DKIJakarta @aniesbaswedan @aagym Di Bali bisa diterapkan nih, tutup lokalisasi di jln Danau Tempe dan Padanggalak",Sudiadi_W,"Bali, Indonesia",bal terap nih tutup lokalisasi jalan danau tempe padanggalak
